[1582099200] LOG ROTATION: DAILY
[1582099200] LOG VERSION: 2.0
[1582099200] CURRENT SERVICE STATE: vdb-103;Swap Usage;OK;HARD;1;SWAP OK - 93% free (1889 MB out of 2047 MB)
[1582099200] CURRENT SERVICE STATE: vdb-103;Total Processes;OK;HARD;1;PROCS OK: 180 processes with STATE = RSZDT
[1582099200] CURRENT SERVICE STATE: vdb-staging;/mnt/data01 Partition;OK;HARD;1;/mnt/data01 is at 79% capacity, 6.8T of 9.1T
[1582099200] CURRENT SERVICE STATE: vdb-staging;Current Load;OK;HARD;1;OK - load average: 0.44, 0.71, 0.83
[1582099200] CURRENT SERVICE STATE: vdb-staging;Current Users;OK;HARD;1;USERS OK - 1 users currently logged in
[1582099200] CURRENT SERVICE STATE: vdb-staging;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.04 ms
[1582099200] CURRENT SERVICE STATE: vdb-staging;Root Partition;OK;HARD;1;/ is at 6% capacity, 102G of 1.8T
[1582099200] CURRENT SERVICE STATE: vdb-staging;SSH;OK;HARD;1;SSH OK - OpenSSH_7.2p2 Ubuntu-4ubuntu2.4 (protocol 2.0)
[1582099200] CURRENT SERVICE STATE: vdb-staging;Swap Usage;OK;HARD;1;SWAP OK - 90% free (92121 MB out of 103375 MB)
[1582099200] CURRENT SERVICE STATE: vdb-staging;Total Processes;OK;HARD;1;PROCS OK: 145 processes with STATE = RSZDT
[1582099200] CURRENT SERVICE STATE: vinfra-200;/mnt/data01 Partition;OK;HARD;1;/mnt/data is at 5% capacity, 39G of 917G
[1582099200] CURRENT SERVICE STATE: vinfra-200;Current Load;OK;HARD;1;OK - load average: 0.69, 0.87, 0.84
[1582099200] CURRENT SERVICE STATE: vinfra-200;Current Users;OK;HARD;1;USERS OK - 2 users currently logged in
[1582099200] CURRENT SERVICE STATE: vinfra-200;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.05 ms
[1582099200] CURRENT SERVICE STATE: vinfra-200;Root Partition;OK;HARD;1;/ is at 39% capacity, 67G of 182G
[1582099200] CURRENT SERVICE STATE: vinfra-200;SSH;OK;HARD;1;SSH OK - OpenSSH_7.2p2 Ubuntu-4ubuntu2.6 (protocol 2.0)
[1582099200] CURRENT SERVICE STATE: vinfra-200;Swap Usage;OK;HARD;1;SWAP OK - 50% free (481 MB out of 975 MB)
[1582099200] CURRENT SERVICE STATE: vinfra-200;Total Processes;OK;HARD;1;PROCS OK: 157 processes with STATE = RSZDT
[1582099200] CURRENT SERVICE STATE: vonly-backup;Current Load;OK;HARD;1;OK - load average: 1.27, 1.52, 1.66
[1582099200] CURRENT SERVICE STATE: vonly-backup;Current Users;OK;HARD;1;USERS OK - 1 users currently logged in
[1582099200] CURRENT SERVICE STATE: vonly-backup;HTTP;OK;HARD;1;HTTP OK: HTTP/1.1 200 OK - 11595 bytes in 0.001 second response time
[1582099200] CURRENT SERVICE STATE: vonly-backup;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.05 ms
[1582099200] CURRENT SERVICE STATE: vonly-backup;Root Partition;OK;HARD;1;/ is at 51% capacity, 107G of 220G
[1582099200] CURRENT SERVICE STATE: vonly-backup;SSH;OK;HARD;1;SSH OK - OpenSSH_7.2p2 Ubuntu-4ubuntu2.8 (protocol 2.0)
[1582099200] CURRENT SERVICE STATE: vonly-backup;Swap Usage;OK;HARD;1;SWAP OK - 95% free (53975 MB out of 57111 MB)
[1582099200] CURRENT SERVICE STATE: vonly-backup;Total Processes;OK;HARD;1;PROCS OK: 246 processes with STATE = RSZDT
[1582099200] CURRENT SERVICE STATE: vonly-database;/media/data Partition;OK;HARD;1;/media/data is at 84% capacity, 2.9T of 3.6T
[1582099200] CURRENT SERVICE STATE: vonly-database;Current Load;OK;HARD;1;OK - load average: 0.08, 0.07, 0.05
[1582099200] CURRENT SERVICE STATE: vonly-database;Current Users;OK;HARD;1;USERS OK - 1 users currently logged in
[1582099200] CURRENT SERVICE STATE: vonly-database;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.03 ms
[1582099200] CURRENT SERVICE STATE: vonly-database;Root Partition;OK;HARD;1;/ is at 67% capacity, 140G of 220G
[1582099200] CURRENT SERVICE STATE: vonly-database;SSH;OK;HARD;1;SSH OK - OpenSSH_6.6.1p1 Ubuntu-2ubuntu2.8 (protocol 2.0)
[1582099200] CURRENT SERVICE STATE: vonly-database;Swap Usage;OK;HARD;1;SWAP OK - 96% free (54442 MB out of 57111 MB)
[1582099200] CURRENT SERVICE STATE: vonly-database;Total Processes;OK;HARD;1;PROCS OK: 201 processes with STATE = RSZDT
[1582099200] CURRENT SERVICE STATE: vonly-replica;/media/data Partition;OK;HARD;1;/media/data is at 44% capacity, 3.1T of 7.3T
[1582099200] CURRENT SERVICE STATE: vonly-replica;Current Load;OK;HARD;1;OK - load average: 0.19, 0.20, 0.17
[1582099200] CURRENT SERVICE STATE: vonly-replica;Current Users;OK;HARD;1;USERS OK - 0 users currently logged in
[1582099200] CURRENT SERVICE STATE: vonly-replica;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.04 ms
[1582099200] CURRENT SERVICE STATE: vonly-replica;Root Partition;OK;HARD;1;/ is at 32% capacity, 32G of 108G
[1582099200] CURRENT SERVICE STATE: vonly-replica;SSH;OK;HARD;1;SSH OK - OpenSSH_7.2p2 Ubuntu-4ubuntu2.2 (protocol 2.0)
[1582099200] CURRENT SERVICE STATE: vonly-replica;Swap Usage;OK;HARD;1;SWAP OK - 98% free (27231 MB out of 27876 MB)
[1582099200] CURRENT SERVICE STATE: vonly-replica;Total Processes;OK;HARD;1;PROCS OK: 90 processes with STATE = RSZDT
[1582100575] SERVICE ALERT: vapps-100;Current Load;CRITICAL;SOFT;1;CRITICAL - load average: 36.85, 16.23, 6.63
[1582100635] SERVICE ALERT: vapps-100;Current Load;CRITICAL;SOFT;2;CRITICAL - load average: 35.22, 19.70, 8.44
[1582100695] SERVICE ALERT: vapps-100;Current Load;CRITICAL;SOFT;3;CRITICAL - load average: 34.50, 22.70, 10.20
[1582100755] SERVICE NOTIFICATION: jatin;vapps-100;Current Load;WARNING;notify-service-by-email;WARNING - load average: 29.83, 23.50, 11.25
[1582100755] SERVICE NOTIFICATION: atul;vapps-100;Current Load;WARNING;notify-service-by-email;WARNING - load average: 29.83, 23.50, 11.25
[1582100755] SERVICE ALERT: vapps-100;Current Load;WARNING;HARD;4;WARNING - load average: 29.83, 23.50, 11.25
[1582101355] SERVICE NOTIFICATION: jatin;vapps-100;Current Load;CRITICAL;notify-service-by-email;CRITICAL - load average: 33.63, 27.75, 18.73
[1582101355] SERVICE NOTIFICATION: atul;vapps-100;Current Load;CRITICAL;notify-service-by-email;CRITICAL - load average: 33.63, 27.75, 18.73
[1582101355] SERVICE ALERT: vapps-100;Current Load;CRITICAL;HARD;4;CRITICAL - load average: 33.63, 27.75, 18.73
[1582101741] SERVICE ALERT: vinfra-200;Current Load;WARNING;SOFT;1;WARNING - load average: 5.02, 6.39, 5.02
[1582101801] SERVICE ALERT: vinfra-200;Current Load;WARNING;SOFT;2;WARNING - load average: 4.93, 6.22, 5.05
[1582101861] SERVICE ALERT: vinfra-200;Current Load;WARNING;SOFT;3;WARNING - load average: 5.13, 6.03, 5.06
[1582101921] SERVICE NOTIFICATION: jatin;vinfra-200;Current Load;WARNING;notify-service-by-email;WARNING - load average: 5.98, 6.07, 5.13
[1582101921] SERVICE NOTIFICATION: atul;vinfra-200;Current Load;WARNING;notify-service-by-email;WARNING - load average: 5.98, 6.07, 5.13
[1582101921] SERVICE ALERT: vinfra-200;Current Load;WARNING;HARD;4;WARNING - load average: 5.98, 6.07, 5.13
[1582101955] SERVICE NOTIFICATION: jatin;vapps-100;Current Load;WARNING;notify-service-by-email;WARNING - load average: 14.54, 18.16, 18.77
[1582101955] SERVICE NOTIFICATION: atul;vapps-100;Current Load;WARNING;notify-service-by-email;WARNING - load average: 14.54, 18.16, 18.77
[1582101955] SERVICE ALERT: vapps-100;Current Load;WARNING;HARD;4;WARNING - load average: 14.54, 18.16, 18.77
[1582102010] Auto-save of retention data completed successfully.
[1582103043] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;1;WARNING - load average: 5.53, 6.43, 3.90
[1582103103] SERVICE ALERT: vonly-backup;Current Load;OK;SOFT;2;OK - load average: 3.12, 5.58, 3.77
[1582104321] SERVICE NOTIFICATION: jatin;vinfra-200;Current Load;OK;notify-service-by-email;OK - load average: 4.41, 4.64, 4.91
[1582104321] SERVICE NOTIFICATION: atul;vinfra-200;Current Load;OK;notify-service-by-email;OK - load average: 4.41, 4.64, 4.91
[1582104321] SERVICE ALERT: vinfra-200;Current Load;OK;HARD;4;OK - load average: 4.41, 4.64, 4.91
[1582104363] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;1;WARNING - load average: 7.58, 3.53, 2.93
[1582104423] SERVICE ALERT: vonly-backup;Current Load;CRITICAL;SOFT;2;CRITICAL - load average: 13.49, 5.98, 3.81
[1582104483] SERVICE ALERT: vonly-backup;Current Load;CRITICAL;SOFT;3;CRITICAL - load average: 10.32, 6.56, 4.15
[1582104543] SERVICE ALERT: vonly-backup;Current Load;OK;HARD;4;OK - load average: 5.75, 5.97, 4.11
[1582104621] SERVICE ALERT: vinfra-200;Current Load;WARNING;SOFT;1;WARNING - load average: 3.47, 5.01, 5.13
[1582104681] SERVICE ALERT: vinfra-200;Current Load;WARNING;SOFT;2;WARNING - load average: 5.60, 5.22, 5.19
[1582104741] SERVICE ALERT: vinfra-200;Current Load;WARNING;SOFT;3;WARNING - load average: 5.93, 5.42, 5.26
[1582104801] SERVICE NOTIFICATION: jatin;vinfra-200;Current Load;WARNING;notify-service-by-email;WARNING - load average: 7.37, 5.64, 5.33
[1582104801] SERVICE NOTIFICATION: atul;vinfra-200;Current Load;WARNING;notify-service-by-email;WARNING - load average: 7.37, 5.64, 5.33
[1582104801] SERVICE ALERT: vinfra-200;Current Load;WARNING;HARD;4;WARNING - load average: 7.37, 5.64, 5.33
[1582104955] SERVICE FLAPPING ALERT: vapps-100;Current Load;STARTED; Service appears to have started flapping (20.3% change >= 20.0% threshold)
[1582104955] SERVICE NOTIFICATION: jatin;vapps-100;Current Load;FLAPPINGSTART (CRITICAL);notify-service-by-email;CRITICAL - load average: 24.96, 24.45, 20.83
[1582104955] SERVICE NOTIFICATION: atul;vapps-100;Current Load;FLAPPINGSTART (CRITICAL);notify-service-by-email;CRITICAL - load average: 24.96, 24.45, 20.83
[1582104955] SERVICE ALERT: vapps-100;Current Load;CRITICAL;HARD;4;CRITICAL - load average: 24.96, 24.45, 20.83
[1582105611] Auto-save of retention data completed successfully.
[1582107955] SERVICE FLAPPING ALERT: vapps-100;Current Load;STOPPED; Service appears to have stopped flapping (4.9% change < 5.0% threshold)
[1582107955] SERVICE NOTIFICATION: jatin;vapps-100;Current Load;FLAPPINGSTOP (CRITICAL);notify-service-by-email;CRITICAL - load average: 16.69, 25.40, 28.26
[1582107955] SERVICE NOTIFICATION: atul;vapps-100;Current Load;FLAPPINGSTOP (CRITICAL);notify-service-by-email;CRITICAL - load average: 16.69, 25.40, 28.26
[1582107955] SERVICE NOTIFICATION: jatin;vapps-100;Current Load;CRITICAL;notify-service-by-email;CRITICAL - load average: 16.69, 25.40, 28.26
[1582107955] SERVICE NOTIFICATION: atul;vapps-100;Current Load;CRITICAL;notify-service-by-email;CRITICAL - load average: 16.69, 25.40, 28.26
[1582108143] SERVICE ALERT: vonly-backup;Current Load;CRITICAL;SOFT;1;CRITICAL - load average: 14.00, 6.26, 3.84
[1582108203] SERVICE ALERT: vonly-backup;Current Load;CRITICAL;SOFT;2;CRITICAL - load average: 12.15, 7.25, 4.34
[1582108263] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;3;WARNING - load average: 7.45, 6.84, 4.38
[1582108323] SERVICE NOTIFICATION: nagiosadmin;vonly-backup;Current Load;WARNING;notify-service-by-email;WARNING - load average: 4.40, 6.10, 4.28
[1582108323] SERVICE ALERT: vonly-backup;Current Load;WARNING;HARD;4;WARNING - load average: 4.40, 6.10, 4.28
[1582108623] SERVICE NOTIFICATION: nagiosadmin;vonly-backup;Current Load;OK;notify-service-by-email;OK - load average: 2.40, 3.82, 3.78
[1582108623] SERVICE ALERT: vonly-backup;Current Load;OK;HARD;4;OK - load average: 2.40, 3.82, 3.78
[1582109210] Auto-save of retention data completed successfully.
[1582109823] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;1;WARNING - load average: 4.97, 7.07, 5.11
[1582109883] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;2;WARNING - load average: 3.48, 6.24, 4.94
[1582109943] SERVICE ALERT: vonly-backup;Current Load;OK;SOFT;3;OK - load average: 2.72, 5.51, 4.77
[1582111401] SERVICE NOTIFICATION: jatin;vinfra-200;Current Load;OK;notify-service-by-email;OK - load average: 3.05, 4.29, 4.91
[1582111401] SERVICE NOTIFICATION: atul;vinfra-200;Current Load;OK;notify-service-by-email;OK - load average: 3.05, 4.29, 4.91
[1582111401] SERVICE ALERT: vinfra-200;Current Load;OK;HARD;4;OK - load average: 3.05, 4.29, 4.91
[1582111555] SERVICE NOTIFICATION: jatin;vapps-100;Current Load;WARNING;notify-service-by-email;WARNING - load average: 9.14, 12.16, 19.56
[1582111555] SERVICE NOTIFICATION: atul;vapps-100;Current Load;WARNING;notify-service-by-email;WARNING - load average: 9.14, 12.16, 19.56
[1582111555] SERVICE ALERT: vapps-100;Current Load;WARNING;HARD;4;WARNING - load average: 9.14, 12.16, 19.56
[1582111701] SERVICE ALERT: vinfra-200;Current Load;WARNING;SOFT;1;WARNING - load average: 7.15, 5.37, 5.14
[1582111761] SERVICE ALERT: vinfra-200;Current Load;OK;SOFT;2;OK - load average: 4.41, 4.91, 4.99
[1582112811] Auto-save of retention data completed successfully.
[1582113955] SERVICE NOTIFICATION: jatin;vapps-100;Current Load;CRITICAL;notify-service-by-email;CRITICAL - load average: 34.63, 26.28, 21.06
[1582113955] SERVICE NOTIFICATION: atul;vapps-100;Current Load;CRITICAL;notify-service-by-email;CRITICAL - load average: 34.63, 26.28, 21.06
[1582113955] SERVICE ALERT: vapps-100;Current Load;CRITICAL;HARD;4;CRITICAL - load average: 34.63, 26.28, 21.06
[1582114221] SERVICE ALERT: vinfra-200;Current Load;WARNING;SOFT;1;WARNING - load average: 5.66, 5.90, 5.11
[1582114281] SERVICE ALERT: vinfra-200;Current Load;WARNING;SOFT;2;WARNING - load average: 4.73, 5.56, 5.04
[1582114341] SERVICE ALERT: vinfra-200;Current Load;WARNING;SOFT;3;WARNING - load average: 4.74, 5.37, 5.01
[1582114401] SERVICE NOTIFICATION: jatin;vinfra-200;Current Load;WARNING;notify-service-by-email;WARNING - load average: 6.28, 5.77, 5.17
[1582114401] SERVICE NOTIFICATION: atul;vinfra-200;Current Load;WARNING;notify-service-by-email;WARNING - load average: 6.28, 5.77, 5.17
[1582114401] SERVICE ALERT: vinfra-200;Current Load;WARNING;HARD;4;WARNING - load average: 6.28, 5.77, 5.17
[1582114701] SERVICE NOTIFICATION: jatin;vinfra-200;Current Load;OK;notify-service-by-email;OK - load average: 1.54, 3.82, 4.55
[1582114701] SERVICE NOTIFICATION: atul;vinfra-200;Current Load;OK;notify-service-by-email;OK - load average: 1.54, 3.82, 4.55
[1582114701] SERVICE ALERT: vinfra-200;Current Load;OK;HARD;4;OK - load average: 1.54, 3.82, 4.55
[1582114855] SERVICE NOTIFICATION: jatin;vapps-100;Current Load;WARNING;notify-service-by-email;WARNING - load average: 1.53, 12.82, 19.61
[1582114855] SERVICE NOTIFICATION: atul;vapps-100;Current Load;WARNING;notify-service-by-email;WARNING - load average: 1.53, 12.82, 19.61
[1582114855] SERVICE ALERT: vapps-100;Current Load;WARNING;HARD;4;WARNING - load average: 1.53, 12.82, 19.61
[1582115155] SERVICE FLAPPING ALERT: vapps-100;Current Load;STARTED; Service appears to have started flapping (22.8% change >= 20.0% threshold)
[1582115155] SERVICE NOTIFICATION: jatin;vapps-100;Current Load;FLAPPINGSTART (CRITICAL);notify-service-by-email;CRITICAL - load average: 137.64, 66.27, 37.91
[1582115155] SERVICE NOTIFICATION: atul;vapps-100;Current Load;FLAPPINGSTART (CRITICAL);notify-service-by-email;CRITICAL - load average: 137.64, 66.27, 37.91
[1582115155] SERVICE ALERT: vapps-100;Current Load;CRITICAL;HARD;4;CRITICAL - load average: 137.64, 66.27, 37.91
[1582115301] SERVICE ALERT: vinfra-200;Current Load;WARNING;SOFT;1;WARNING - load average: 13.34, 9.49, 6.51
[1582115361] SERVICE ALERT: vinfra-200;Current Load;WARNING;SOFT;2;WARNING - load average: 9.91, 9.29, 6.63
[1582115421] SERVICE ALERT: vinfra-200;Current Load;WARNING;SOFT;3;WARNING - load average: 10.51, 9.51, 6.87
[1582115481] SERVICE FLAPPING ALERT: vinfra-200;Current Load;STARTED; Service appears to have started flapping (22.6% change >= 20.0% threshold)
[1582115481] SERVICE NOTIFICATION: jatin;vinfra-200;Current Load;FLAPPINGSTART (WARNING);notify-service-by-email;WARNING - load average: 12.92, 10.22, 7.27
[1582115481] SERVICE NOTIFICATION: atul;vinfra-200;Current Load;FLAPPINGSTART (WARNING);notify-service-by-email;WARNING - load average: 12.92, 10.22, 7.27
[1582115481] SERVICE ALERT: vinfra-200;Current Load;WARNING;HARD;4;WARNING - load average: 12.92, 10.22, 7.27
[1582115912] SERVICE ALERT: vapps-100;/mnt/data01 Partition;WARNING;SOFT;1;/mnt/data01 is at 91% capacity! 471G of 551G
[1582115972] SERVICE ALERT: vapps-100;/mnt/data01 Partition;WARNING;SOFT;2;/mnt/data01 is at 91% capacity! 471G of 551G
[1582116032] SERVICE ALERT: vapps-100;/mnt/data01 Partition;WARNING;SOFT;3;/mnt/data01 is at 91% capacity! 471G of 551G
[1582116092] SERVICE NOTIFICATION: jatin;vapps-100;/mnt/data01 Partition;WARNING;notify-service-by-email;/mnt/data01 is at 91% capacity! 471G of 551G
[1582116092] SERVICE NOTIFICATION: atul;vapps-100;/mnt/data01 Partition;WARNING;notify-service-by-email;/mnt/data01 is at 91% capacity! 471G of 551G
[1582116092] SERVICE ALERT: vapps-100;/mnt/data01 Partition;WARNING;HARD;4;/mnt/data01 is at 91% capacity! 471G of 551G
[1582116392] SERVICE NOTIFICATION: jatin;vapps-100;/mnt/data01 Partition;OK;notify-service-by-email;/mnt/data01 is at 78% capacity, 407G of 551G
[1582116392] SERVICE NOTIFICATION: atul;vapps-100;/mnt/data01 Partition;OK;notify-service-by-email;/mnt/data01 is at 78% capacity, 407G of 551G
[1582116392] SERVICE ALERT: vapps-100;/mnt/data01 Partition;OK;HARD;4;/mnt/data01 is at 78% capacity, 407G of 551G
[1582116410] Auto-save of retention data completed successfully.
[1582116681] SERVICE ALERT: vinfra-200;Current Load;OK;HARD;4;OK - load average: 0.38, 1.71, 4.22
[1582118181] SERVICE ALERT: vinfra-200;Current Load;WARNING;SOFT;1;WARNING - load average: 7.38, 6.68, 5.53
[1582118241] SERVICE ALERT: vinfra-200;Current Load;WARNING;SOFT;2;WARNING - load average: 3.95, 5.79, 5.29
[1582118301] SERVICE ALERT: vinfra-200;Current Load;WARNING;SOFT;3;WARNING - load average: 2.23, 4.98, 5.04
[1582118361] SERVICE ALERT: vinfra-200;Current Load;OK;HARD;4;OK - load average: 2.45, 4.52, 4.88
[1582119055] SERVICE ALERT: vapps-100;Current Load;WARNING;HARD;4;WARNING - load average: 2.76, 10.65, 19.54
[1582120011] Auto-save of retention data completed successfully.
[1582120255] SERVICE ALERT: vapps-100;Current Load;OK;HARD;4;OK - load average: 0.28, 1.58, 7.05
