[1581062400] LOG ROTATION: DAILY
[1581062400] LOG VERSION: 2.0
[1581062400] CURRENT SERVICE STATE: vonly-database;/media/data Partition;WARNING;HARD;4;/media/data is at 91% capacity! 3.1T of 3.6T
[1581062400] CURRENT SERVICE STATE: vonly-database;Current Load;OK;HARD;1;OK - load average: 1.74, 1.74, 2.33
[1581062400] CURRENT SERVICE STATE: vonly-database;Current Users;OK;HARD;1;USERS OK - 2 users currently logged in
[1581062400] CURRENT SERVICE STATE: vonly-database;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.06 ms
[1581062400] CURRENT SERVICE STATE: vonly-database;Root Partition;OK;HARD;1;/ is at 66% capacity, 137G of 220G
[1581062400] CURRENT SERVICE STATE: vonly-database;SSH;OK;HARD;1;SSH OK - OpenSSH_6.6.1p1 Ubuntu-2ubuntu2.8 (protocol 2.0)
[1581062400] CURRENT SERVICE STATE: vonly-database;Swap Usage;OK;HARD;1;SWAP OK - 90% free (51177 MB out of 57111 MB)
[1581062400] CURRENT SERVICE STATE: vonly-database;Total Processes;OK;HARD;1;PROCS OK: 202 processes with STATE = RSZDT
[1581062400] CURRENT SERVICE STATE: vonly-replica;/media/data Partition;OK;HARD;1;/media/data is at 86% capacity, 5.9T of 7.3T
[1581062400] CURRENT SERVICE STATE: vonly-replica;Current Load;WARNING;HARD;4;WARNING - load average: 5.21, 5.77, 5.90
[1581062400] CURRENT SERVICE STATE: vonly-replica;Current Users;OK;HARD;1;USERS OK - 1 users currently logged in
[1581062400] CURRENT SERVICE STATE: vonly-replica;PING;OK;HARD;1;PING OK - Packet loss = 0%, RTA = 0.04 ms
[1581062400] CURRENT SERVICE STATE: vonly-replica;Root Partition;OK;HARD;1;/ is at 32% capacity, 33G of 108G
[1581062400] CURRENT SERVICE STATE: vonly-replica;SSH;OK;HARD;1;SSH OK - OpenSSH_7.2p2 Ubuntu-4ubuntu2.2 (protocol 2.0)
[1581062400] CURRENT SERVICE STATE: vonly-replica;Swap Usage;OK;HARD;1;SWAP OK - 98% free (27175 MB out of 27876 MB)
[1581062400] CURRENT SERVICE STATE: vonly-replica;Total Processes;OK;HARD;1;PROCS OK: 96 processes with STATE = RSZDT
[1581062995] SERVICE NOTIFICATION: jatin;vonly-database;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 91% capacity! 3.1T of 3.6T
[1581062995] SERVICE NOTIFICATION: atul;vonly-database;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 91% capacity! 3.1T of 3.6T
[1581064922] SERVICE NOTIFICATION: jatin;vonly-replica;Current Load;WARNING;notify-service-by-email;WARNING - load average: 10.82, 10.99, 10.94
[1581064922] SERVICE NOTIFICATION: atul;vonly-replica;Current Load;WARNING;notify-service-by-email;WARNING - load average: 10.82, 10.99, 10.94
[1581065580] Auto-save of retention data completed successfully.
[1581066302] SERVICE FLAPPING ALERT: vonly-backup;Current Load;STOPPED; Service appears to have stopped flapping (3.8% change < 5.0% threshold)
[1581066302] SERVICE NOTIFICATION: nagiosadmin;vonly-backup;Current Load;FLAPPINGSTOP (OK);notify-service-by-email;OK - load average: 3.27, 3.23, 3.52
[1581066595] SERVICE NOTIFICATION: jatin;vonly-database;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 91% capacity! 3.1T of 3.6T
[1581066595] SERVICE NOTIFICATION: atul;vonly-database;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 91% capacity! 3.1T of 3.6T
[1581067502] SERVICE ALERT: vonly-backup;Current Load;CRITICAL;SOFT;1;CRITICAL - load average: 11.94, 5.83, 4.13
[1581067562] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;2;WARNING - load average: 8.89, 6.19, 4.37
[1581067622] SERVICE ALERT: vonly-backup;Current Load;OK;SOFT;3;OK - load average: 5.51, 5.70, 4.32
[1581067982] SERVICE ALERT: vonly-backup;Current Load;CRITICAL;SOFT;1;CRITICAL - load average: 12.68, 7.36, 5.18
[1581068042] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;2;WARNING - load average: 7.61, 6.92, 5.16
[1581068102] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;3;WARNING - load average: 4.65, 6.20, 5.02
[1581068162] SERVICE ALERT: vonly-backup;Current Load;OK;HARD;4;OK - load average: 3.49, 5.58, 4.88
[1581068199] SERVICE ALERT: vdb-101;/mnt/data01 Partition;WARNING;SOFT;1;/mnt/data01 is at 91% capacity! 3.1T of 3.6T
[1581068260] SERVICE ALERT: vdb-101;/mnt/data01 Partition;WARNING;SOFT;2;/mnt/data01 is at 91% capacity! 3.1T of 3.6T
[1581068320] SERVICE ALERT: vdb-101;/mnt/data01 Partition;OK;SOFT;3;/mnt/data01 is at 90% capacity, 3.1T of 3.6T
[1581068680] SERVICE ALERT: vdb-101;/mnt/data01 Partition;WARNING;SOFT;1;/mnt/data01 is at 91% capacity! 3.1T of 3.6T
[1581068740] SERVICE ALERT: vdb-101;/mnt/data01 Partition;WARNING;SOFT;2;/mnt/data01 is at 91% capacity! 3.1T of 3.6T
[1581068800] SERVICE ALERT: vdb-101;/mnt/data01 Partition;WARNING;SOFT;3;/mnt/data01 is at 91% capacity! 3.1T of 3.6T
[1581068860] SERVICE NOTIFICATION: jatin;vdb-101;/mnt/data01 Partition;WARNING;notify-service-by-email;/mnt/data01 is at 91% capacity! 3.1T of 3.6T
[1581068860] SERVICE NOTIFICATION: atul;vdb-101;/mnt/data01 Partition;WARNING;notify-service-by-email;/mnt/data01 is at 91% capacity! 3.1T of 3.6T
[1581068860] SERVICE ALERT: vdb-101;/mnt/data01 Partition;WARNING;HARD;4;/mnt/data01 is at 91% capacity! 3.1T of 3.6T
[1581069181] Auto-save of retention data completed successfully.
[1581069344] SERVICE NOTIFICATION: jatin;vdb-100;/mnt/data01 Partition;WARNING;notify-service-by-email;/mnt/data01 is at 92% capacity! 3.2T of 3.7T
[1581069344] SERVICE NOTIFICATION: atul;vdb-100;/mnt/data01 Partition;WARNING;notify-service-by-email;/mnt/data01 is at 92% capacity! 3.2T of 3.7T
[1581070195] SERVICE NOTIFICATION: jatin;vonly-database;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 91% capacity! 3.1T of 3.6T
[1581070195] SERVICE NOTIFICATION: atul;vonly-database;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 91% capacity! 3.1T of 3.6T
[1581072362] SERVICE ALERT: vonly-backup;Current Load;CRITICAL;SOFT;1;CRITICAL - load average: 12.74, 5.79, 4.10
[1581072422] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;2;WARNING - load average: 8.44, 5.92, 4.26
[1581072482] SERVICE ALERT: vonly-backup;Current Load;OK;SOFT;3;OK - load average: 5.01, 5.39, 4.17
[1581072781] Auto-save of retention data completed successfully.
[1581073795] SERVICE NOTIFICATION: jatin;vonly-database;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 91% capacity! 3.1T of 3.6T
[1581073795] SERVICE NOTIFICATION: atul;vonly-database;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 91% capacity! 3.1T of 3.6T
[1581074642] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;1;WARNING - load average: 6.67, 6.04, 4.35
[1581074702] SERVICE ALERT: vonly-backup;Current Load;OK;SOFT;2;OK - load average: 4.66, 5.60, 4.31
[1581075962] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;1;WARNING - load average: 9.58, 6.40, 4.88
[1581076022] SERVICE ALERT: vonly-backup;Current Load;CRITICAL;SOFT;2;CRITICAL - load average: 12.98, 8.08, 5.56
[1581076082] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;3;WARNING - load average: 7.84, 7.56, 5.54
[1581076142] SERVICE NOTIFICATION: nagiosadmin;vonly-backup;Current Load;WARNING;notify-service-by-email;WARNING - load average: 5.15, 6.83, 5.41
[1581076142] SERVICE ALERT: vonly-backup;Current Load;WARNING;HARD;4;WARNING - load average: 5.15, 6.83, 5.41
[1581076381] Auto-save of retention data completed successfully.
[1581076442] SERVICE NOTIFICATION: nagiosadmin;vonly-backup;Current Load;OK;notify-service-by-email;OK - load average: 3.98, 4.50, 4.75
[1581076442] SERVICE ALERT: vonly-backup;Current Load;OK;HARD;4;OK - load average: 3.98, 4.50, 4.75
[1581077342] SERVICE ALERT: vonly-backup;Current Load;WARNING;SOFT;1;WARNING - load average: 7.70, 6.06, 5.21
[1581077395] SERVICE NOTIFICATION: jatin;vonly-database;/media/data Partition;WARNING;notify-service-by-email;/media/data is at 92% capacity! 3.2T of 3.6T
